Visa Rank	Employer	H1B LCA(2017-2019) (Denied, Withdrawn/Total)	Green Card LC(2017-2019)  (Denied, Withdrawn/Total)
1	1	Infosys Limited	35/53753	22/1930
2	2	Cognizant Technology Solutions U.S. Corporation	1151/44307	43/7216
3	3	Tata Consultancy Services Limited	214/40008	27/3027
4	5	Google Inc.	1065/22524	72/6482
5	6	IBM Corporation	4594/26872	87/745
6	7	Capgemini U.S. Llc	385/24866	36/1156
7	9	Microsoft Corporation	65/16598	142/5576
8	10	Tech Mahindra (Americas), Inc.	255/19188	25/449
9	12	Wipro Limited	288/16409	43/707
10	14	Hcl America, Inc.	59/11482	48/2065
11	16	Larsen & Toubro Infotech Limited	221/8663	22/790
12	19	Syntel Inc	124/6637	8/189
13	25	Salesforce.Com, Inc.	75/4075	26/1020
14	26	Compunnel Software Group, Inc.	46/4538	22/522
15	28	Hexaware Technologies, Inc.	44/4046	8/404
16	29	Oracle America, Inc.	45/2687	55/1729
17	33	Uber Technologies, Inc.	52/3211	6/877
18	35	Ust Global Inc.	103/3756	9/299
19	38	Mphasis Corporation	29/3224	13/664
20	39	Virtusa Corporation	162/3478	33/402
21	40	VM Ware Inc	42/3068	15/802
22	47	Mindtree Limited	20/2911	6/347
23	50	People Tech Group Inc.	176/2986	92/115
24	52	Synechron, Inc.	111/2768	6/186
25	54	Cerner Corporation	91/2426	1/463
26	55	Ntt Data, Inc.	63/2466	19/382
27	56	V-Soft Consulting Group, Inc	95/2653	30/116
28	60	Marlabs, Inc	1/2225	12/114
29	65	Fujitsu America, Inc.	82/1952	6/129
30	66	Htc Global Services, Inc.	15/1774	15/292
31	68	Intuit Inc.	123/1436	6/604
32	70	Citiustech Inc.	191/1970	2/55
33	72	Randstad Technologies, LLC	27/1776	4/241
34	80	Epam Systems, Inc	25/1147	32/790
35	82	Avco Consulting Inc	11/1775	6/149
36	84	Erp Analysts, Inc.	24/1665	0/173
37	85	Persistent Systems, Inc.	192/1755	1/82
38	87	Hcl Global Systems Inc	22/1593	13/222
39	88	Globallogic, Inc.	15/1550	3/217
40	90	Sap America, Inc.	14/1508	2/255
41	91	T-Mobile Usa, Inc.	18/1410	6/331
42	92	Expedia, Inc.	28/1368	1/343
43	93	Collaborate Solutions Inc	23/1635	4/39
44	94	Reliable Software Resources, Inc.	52/1473	3/195
45	95	The Mathworks, Inc.	6/1404	0/261
46	97	Cgi Technologies And Solutions Inc.	13/1367	7/268
47	98	First Tek, Inc.	75/1486	8/110
48	101	Natsoft Corporation	55/1287	4/226
49	105	System Soft Technologies Llc	75/1352	19/134
50	109	Slk America Inc	53/1434	2/27
51	111	3i Infotech, Inc.	38/1319	14/120
52	112	Juniper Networks, Inc.	8/1023	15/404
53	113	Emc Corporation	54/1100	11/312
54	116	Optum Services, Inc.	67/1188	2/206
55	117	Astir It Solutions Inc.	4/1309	6/59
56	118	Yash Technologies, Inc.	15/1255	1/96
57	123	Symantec Corporation	83/1127	7/207
58	126	Iris Software, Inc.	39/1199	5/110
59	131	Iblesoft Inc	21/1234	0/31
60	134	Adobe Systems Incorporated	25/901	11/334
61	136	Sapient Corporation	31/1041	0/174
62	137	Niit Technologies Limited	36/995	2/213
63	140	Hitachi Consulting Corporation	82/1047	7/117
64	145	Intone Networks Inc.	14/1000	8/131
65	150	Akamai Technologies, Inc.	58/917	13/175
66	152	Twitter, Inc.	38/888	18/198
67	153	Servicenow, Inc.	13/807	1/269
68	154	Infoshare Systems, Inc.	101/1036	10/36
69	156	Diversant Llc	45/902	8/163
70	157	Systems Technology Group, Inc.	19/945	0/114
71	160	Synopsys, Inc.	25/635	13/421
72	167	Technosoft Corporation	23/895	1/124
73	167	Sap Labs, Llc	7/875	4/144
74	167	Nisum Technologies Inc.	19/882	1/137
75	172	Verizon Data Services Llc	7/1001	0/1
76	177	Pyramid Technology Solutions, Inc.	16/949	3/40
77	178	Srs Consulting Inc.	12/847	0/140
78	184	Pioneer Consulting Services Llc	9/916	0/32
79	188	Altimetrik Corp	30/873	4/67
80	191	Palo Alto Networks, Inc.	11/749	1/183
81	194	Netapp, Inc.	53/781	4/141
82	195	Collabera Inc.,	16/876	1/44
83	198	Snap, Inc	8/651	0/260
84	199	Csc Covansys Corporation	25/808	6/101
85	200	Rjt Compuquest, Inc.	25/846	8/62
86	201	Cyberthink Inc	13/810	2/93
87	202	Idexcel, Inc.	94/865	0/35
88	203	Autodesk, Inc.	17/730	4/169
89	205	At&T Services, Inc.	18/772	2/121
90	206	Eclinicalworks, Llc	14/781	0/109
91	207	Intraedge, Inc.	14/752	13/137
92	210	Diaspark, Inc.	33/838	0/28
93	221	Strategic Resources International, Inc.	22/793	5/57
94	222	Nagarro, Inc.	3/791	2/57
